City ID,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
163,Port Elizabeth,ZA,2020-06-19 23:23:38,-33.92,25.57,59.0,44,0,5.82
164,Yumen,CN,2020-06-19 23:25:34,40.28,97.2,71.69,23,32,6.22
165,Saldanha,ZA,2020-06-19 23:24:22,-33.01,17.94,60.8,77,0,3.36
166,Ribeira Grande,PT,2020-06-19 23:25:34,38.52,-28.7,65.03,88,55,16.51
167,Guanay,BO,2020-06-19 23:25:34,-15.5,-67.88,74.19,79,12,1.52
168,Pevek,RU,2020-06-19 23:25:35,69.7,170.31,41.61,69,13,10.51
169,Beaumont,US,2020-06-19 23:20:47,30.09,-94.1,89.6,52,1,10.29
170,Alice Springs,AU,2020-06-19 23:23:52,-23.7,133.88,53.6,54,0,6.93
171,Flin Flon,CA,2020-06-19 23:25:35,54.77,-101.86,48.2,76,90,4.7
172,Jamestown,US,2020-06-19 23:21:09,42.1,-79.24,73.0,88,75,3.36
173,Mananjary,MG,2020-06-19 23:25:35,-21.22,48.33,66.87,84,96,3.04
174,Guerrero Negro,MX,2020-06-19 23:25:35,27.98,-114.06,71.53,56,56,19.3
175,Cap Malheureux,MU,2020-06-19 23:25:35,-19.98,57.61,71.01,72,89,8.01
176,Vestmanna,FO,2020-06-19 23:23:44,62.16,-7.17,50.0,93,74,18.34
177,Warrenton,ZA,2020-06-19 23:25:36,-28.11,24.85,45.05,59,0,7.94
178,Xinyu,CN,2020-06-19 23:25:36,27.8,114.93,72.95,89,75,1.23
179,Darhan,MN,2020-06-19 23:25:36,49.49,105.92,61.27,80,38,5.3
180,La Rioja,ES,2020-06-19 23:25:36,42.25,-2.5,62.6,77,7,5.82
181,Viloco,BO,2020-06-19 23:25:36,-16.95,-67.55,43.5,75,1,1.21
182,Adrar,MR,2020-06-19 23:25:36,20.5,-10.07,97.47,15,49,14.07
183,Grindavik,IS,2020-06-19 23:25:36,63.84,-22.43,50.0,76,100,6.93
